publisher,license,is_referenced_by_count,link,authors,abstract,title,doi,type,journal,issn,volume,issue,start_page,end_page,publication_date,references,ablation
SPIE,,3,"[{'URL': 'http://proceedings.spiedigitallibrary.org/proceeding.aspx?doi=10.1117/12.478575', 'content-type': 'unspecified', 'content-version': 'vor', 'intended-application': 'similarity-checking'}]","[{'lastname': 'Kabashin', 'firstname': 'Andrei V.', 'affiliation': None}, {'lastname': 'Meunier', 'firstname': 'Michel', 'affiliation': None}, {'lastname': 'Luong', 'firstname': 'John H. T.', 'affiliation': None}]",,Femtosecond laser ablation of gold in aqueous biocompatible solutions to produce colloidal gold nanoparticles,10.1117/12.478575,proceedings-article,SPIE Proceedings,0277-786X,4977,,609,,2003-07-18,,True
Royal Society of Chemistry (RSC),"[{'start': {'date-parts': [[2023, 9, 8]], 'date-time': '2023-09-08T00:00:00Z', 'timestamp': 1694131200000}, 'content-version': 'vor', 'delay-in-days': 250, 'URL': 'http://creativecommons.org/licenses/by/3.0/'}]",36,"[{'URL': 'http://pubs.rsc.org/en/content/articlepdf/2023/CS/D3CS00155E', 'content-type': 'unspecified', 'content-version': 'vor', 'intended-application': 'similarity-checking'}]","[{'lastname': 'Kabashin', 'firstname': 'Andrei V.', 'affiliation': None}, {'lastname': 'Kravets', 'firstname': 'Vasyl G.', 'affiliation': None}, {'lastname': 'Grigorenko', 'firstname': 'Alexander N.', 'affiliation': None}]","We present newly-emerging approaches to unlock sensitivity barriers of current label-free optical biosensing transducers by employing novel structural architectures, artificial materials (metamaterials), and newly-observed optical phenomena.",Label-free optical biosensing: going beyond the limits,10.1039/d3cs00155e,journal-article,Chemical Society Reviews,1460-4744,52,18,6554,6585,2023-01-01,"['10.1002/9781118354162', '10.1038/nrd838', '10.1038/s41587-019-0045-y', '10.1016/S0925-4005(03)00075-3', '10.1016/0925-4005(93)85234-2', '10.1021/ac00087a010', '10.1016/0925-4005(94)87081-0', '10.1364/OE.15.012523', '10.1038/nmeth.1221', '10.1016/0250-6874(83)85036-7', '10.1016/0956-5663(95)96965-2', '10.1007/s00216-003-2101-0', '10.1021/cr068107d', '10.1039/9781788010283', '10.1038/nmat2162', '10.1109/JPROC.2016.2624340', '10.1002/adom.201801433', '10.1039/D0TB00351D', '10.1002/lpor.202100328', '10.1021/acsnano.2c03310', '10.1016/j.aca.2019.12.067', '10.1063/1.125493', '10.1364/OE.17.021191', '10.1070/QE1997v027n07ABEH001013', '10.1016/S0030-4018(97)00726-8', '10.1016/S0925-4005(03)00638-5', '10.1016/j.snb.2004.12.089', '10.1002/andp.201200203', '10.1021/la0493621', '10.1038/nmat2546', '10.1364/OL.35.000956', '10.1038/nmat3537', '10.1038/srep05517', '10.1002/adma.201501754', '10.1002/adma.201303426', '10.1038/nmat4609', '10.1002/adfm.201902692', '10.1021/acs.chemrev.8b00243', '10.1103/PhysRevLett.101.087403', '10.1021/acs.accounts.9b00312', '10.1016/j.revip.2021.100051', '10.1016/j.ab.2004.05.009', '10.1186/1479-5876-9-85', '10.1016/j.bios.2006.04.021', '10.1007/s00216-016-9664-z', '10.1016/j.snb.2020.128380', '10.1016/j.bios.2010.07.128', '10.1021/ac800598c', '10.1016/j.talanta.2011.12.021', '10.1021/ac202863k', '10.1088/2053-1583/aba88e', '10.1016/j.sna.2012.08.041', '10.1016/j.bios.2015.05.017', '10.1038/ncomms3381', '10.1364/OE.20.000672', '10.1016/j.snb.2016.04.151', '10.1038/s41598-019-56105-7', '10.1002/adom.201801313', '10.1002/adom.201900081', '10.1038/nature04242', '10.1063/1.1142032', '10.1088/0370-1328/73/1/307', '10.1103/PhysRevB.78.205405', '10.1063/1.4767646', '10.1038/s41467-022-29716-4', '10.1038/s41467-022-29399-x', '10.1126/science.abn6528', '10.1021/acsphotonics.9b01019', '10.1038/s41467-022-29817-0', '10.1038/lsa.2017.152', '10.1016/0039-6028(76)90450-7', '10.1364/OL.29.002378', '10.1063/1.2192622', '10.1364/OE.18.014353', '10.3390/s140915914', '10.3390/s17122819', '10.1007/s11082-021-03356-2', '10.1016/j.snb.2004.12.044', '10.1016/j.snb.2008.03.044', '10.1063/1.1806273', '10.1016/j.snb.2005.04.007', '10.1364/OE.15.001745', '10.1016/j.bios.2007.07.015', '10.1016/S0956-5663(98)00088-8', '10.1016/S0925-4005(98)00326-8', '10.1016/S0925-4005(98)00208-1', '10.1016/S0030-4018(99)00676-8', '10.1016/j.snb.2008.06.011', '10.1038/s41598-021-95593-4', '10.1016/S0925-4005(97)80052-4', '10.1109/JSEN.2006.884982', '10.1016/j.optcom.2007.03.067', '10.1364/OL.30.001488', '10.1016/j.bios.2008.06.013', '10.1364/OL.34.003110', '10.1364/OL.36.004092', '10.1364/OL.37.002091', '10.1016/j.snb.2003.08.005', '10.1364/OE.15.013651', '10.3390/bios12070457', '10.1364/JOSAB.25.001673', '10.1080/02726340801921627', '10.1364/AO.42.006905', '10.1016/j.snb.2003.09.023', '10.1038/srep12864', '10.1063/1.4875019', '10.1039/c2lc40455a', '10.1364/OE.17.019041', '10.1021/nn2009485', '10.1007/s11468-019-01064-y', '10.1016/j.bios.2018.02.006', '10.1364/BOE.3.000899', '10.1021/nl300044a', '10.1364/OL.36.000775', '10.1038/lsa.2014.101', '10.1364/OL.40.001924', '10.1016/j.bios.2017.03.036', '10.1038/nmat1849', '10.1007/s00216-012-6624-0', '10.1038/nphoton.2012.262', '10.1126/science.aab2051', '10.1016/j.bios.2013.06.026', '10.1016/j.snb.2014.10.124', '10.1016/j.bios.2016.04.017', '10.1016/j.snb.2018.03.070', '10.1007/s11468-022-01594-y', '10.1007/s40820-021-00613-7', '10.3390/s18051621', '10.1021/acs.nanolett.8b04776', '10.1016/j.photonics.2018.06.003', '10.1021/acs.jpcc.6b12858', '10.1007/s11468-019-01079-5', '10.1007/s11468-019-01033-5', '10.3390/s18072056', '10.1364/OE.17.011205', '10.1364/AO.56.000462', '10.1016/j.optcom.2017.11.039', '10.3390/photonics5030023', '10.1039/C9RA05125B', '10.1007/s11468-019-00968-z', '10.1021/acsphotonics.7b01176', '10.1016/0009-2614(81)85442-5', '10.1063/1.1760740', '10.1021/nl049681c', '10.1088/2040-8978/15/11/114002', '10.1002/adom.201900081', '10.1007/978-981-10-4726-8_7', '10.1038/s41467-021-21196-2', '10.1364/OE.27.024835', '10.1039/D1NR08341D', '10.1016/j.bios.2017.12.001', '10.1088/1361-6463/aba1ae', '10.1038/s41377-020-0336-6', '10.1002/lpor.202100633', '10.1002/adom.201700166', '10.1007/s12210-015-0404-7', '10.1038/srep25380', '10.1038/s41467-018-02860-6', '10.1002/smll.201700600', '10.3390/s22062116', '10.1002/andp.19474360704', '10.1002/andp.19494400312', '10.1063/1.1775294', '10.1364/OE.384419', '10.1016/j.optcom.2018.04.070', '10.3390/bios11060201', '10.3390/nano10071289', '10.1364/OME.8.003036', '10.3390/s20041028', '10.1063/1.5027133', '10.1016/j.bios.2019.111396', '10.1021/acsami.8b14370', '10.1021/nl301594s', '10.1126/science.aag2472', '10.1021/acsphotonics.7b01038', '10.1039/C6NR07904K', '10.1021/acs.nanolett.7b01518', '10.1021/acsphotonics.0c01030', '10.1002/adfm.202103143', '10.3390/bios12110981', '10.1021/acsnano.0c07722', '10.1038/s41565-021-01045-5', '10.1002/advs.202206236', '10.1038/natrevmats.2016.48', '10.1016/j.scib.2018.12.003', '10.1038/s41467-021-23257-y', '10.1016/j.rinp.2023.106539', '10.1515/nanoph-2021-0396', '10.1038/s41467-022-32697-z', '10.1038/s41566-019-0394-6', '10.1038/s41566-017-0031-1', '10.1126/science.aar7709', '10.1103/PhysRevLett.112.203901', '10.1038/nature23281', '10.1021/acsphotonics.1c01083', '10.1109/JSEN.2023.3268168', '10.3390/mi12040426', '10.1038/s41567-020-0796-x', '10.1002/cmtd.202200066', '10.1146/annurev-physchem-050317-021247', '10.1038/s41592-020-0947-0', '10.1038/s41592-022-01491-6', '10.1038/s41592-021-01261-w', '10.1038/s41592-021-01260-x', '10.1063/1.4865553', '10.1038/lsa.2017.172']",False
Optica Publishing Group,"[{'start': {'date-parts': [[2006, 9, 1]], 'date-time': '2006-09-01T00:00:00Z', 'timestamp': 1157068800000}, 'content-version': 'vor', 'delay-in-days': 0, 'URL': 'https://doi.org/10.1364/OA_License_v1#VOR'}, {'start': {'date-parts': [[2006, 9, 1]], 'date-time': '2006-09-01T00:00:00Z', 'timestamp': 1157068800000}, 'content-version': 'tdm', 'delay-in-days': 0, 'URL': 'https://opg.optica.org/policies/opg-tdm-policy.json'}]",9,"[{'URL': 'https://www.osapublishing.org/viewmedia.cfm?URI=ao-45-25-6640&seq=0', 'content-type': 'unspecified', 'content-version': 'vor', 'intended-application': 'similarity-checking'}]","[{'lastname': 'Patskovsky', 'firstname': 'Sergiy', 'affiliation': None}, {'lastname': 'Bah', 'firstname': 'Souleymane', 'affiliation': None}, {'lastname': 'Meunier', 'firstname': 'Michel', 'affiliation': None}, {'lastname': 'Kabashin', 'firstname': 'Andrei V.', 'affiliation': None}]",,Characterization of high refractive index semiconductor films by surface plasmon resonance,10.1364/ao.45.006640,journal-article,Applied Optics,1539-4522,45,25,6640,,2006-09-01,"['10.1016/0250-6874(83)85036-7', '10.1016/S0925-4005(97)80057-3', '10.1049/el:19881004', '10.1016/0925-4005(93)80021-3', '10.1515/zna-1968-1247', '10.1016/S0030-4018(97)00726-8', '10.1063/1.125493', '10.1364/JOSAA.20.001644', '10.1016/j.snb.2003.09.023', '10.1364/AO.42.006905', '10.1081/AL-120026570', '10.1063/1.1446217', '10.1103/PhysRev.95.359', '10.1088/0305-4608/17/1/031', '10.1063/1.1287631', '10.1063/1.367101', '10.1016/S0921-5107(99)00236-6', '10.1002/andp.19354160705', '10.1021/ja991608e', '10.1088/0957-0233/7/1/003']",False
Elsevier BV,"[{'start': {'date-parts': [[2005, 7, 1]], 'date-time': '2005-07-01T00:00:00Z', 'timestamp': 1120176000000}, 'content-version': 'tdm', 'delay-in-days': 0, 'URL': 'https://www.elsevier.com/tdm/userlicense/1.0/'}]",61,"[{'URL': 'https://api.elsevier.com/content/article/PII:S0169433205001595?httpAccept=text/xml', 'content-type': 'text/xml', 'content-version': 'vor', 'intended-application': 'text-mining'}, {'URL': 'https://api.elsevier.com/content/article/PII:S0169433205001595?httpAccept=text/plain', 'content-type': 'text/plain', 'content-version': 'vor', 'intended-application': 'text-mining'}]","[{'lastname': 'Besner', 'firstname': 'S.', 'affiliation': None}, {'lastname': 'Degorce', 'firstname': 'J.-Y.', 'affiliation': None}, {'lastname': 'Kabashin', 'firstname': 'A.V.', 'affiliation': None}, {'lastname': 'Meunier', 'firstname': 'M.', 'affiliation': None}]",,Influence of ambient medium on femtosecond laser processing of silicon,10.1016/j.apsusc.2005.01.137,journal-article,Applied Surface Science,0169-4332,247,1-4,163,168,2005-07-01,"['10.1117/12.407346', '10.1007/BF00692122', '10.1007/BF00324265', '10.1007/BF00348424', '10.1117/12.184768', '10.1007/BF01538343', '10.1007/BF00324203', '10.1016/S0169-4332(96)00442-4', '10.1001/archopht.1989.01070010601038', '10.1070/QE2001v031n05ABEH001958', '10.1063/1.1626793', '10.1117/12.478595', '10.1103/PhysRevLett.80.4406', '10.1007/s003390100893', '10.1063/1.369675', '10.1007/s003400050617', '10.1016/S0079-6727(97)00002-5', '10.1109/3.488842', '10.1109/3.777215', '10.1063/1.369675']",False
SPIE,,0,,"[{'lastname': 'Besner', 'firstname': 'S', 'affiliation': None}, {'lastname': 'Kabashin', 'firstname': 'A. V.', 'affiliation': None}, {'lastname': 'Meunier', 'firstname': 'M.', 'affiliation': None}, {'lastname': 'Winnik', 'firstname': 'F. M.', 'affiliation': None}]",,Fabrication of functionalized gold nanoparticles by femtosecond laser ablation in aqueous solutions of biopolymers,10.1117/12.628885,proceedings-article,SPIE Proceedings,0277-786X,5969,,59690B,,2005-09-28,,True
Elsevier BV,"[{'start': {'date-parts': [[2004, 2, 1]], 'date-time': '2004-02-01T00:00:00Z', 'timestamp': 1075593600000}, 'content-version': 'tdm', 'delay-in-days': 0, 'URL': 'https://www.elsevier.com/tdm/userlicense/1.0/'}]",51,"[{'URL': 'https://api.elsevier.com/content/article/PII:S0925400503007494?httpAccept=text/xml', 'content-type': 'text/xml', 'content-version': 'vor', 'intended-application': 'text-mining'}, {'URL': 'https://api.elsevier.com/content/article/PII:S0925400503007494?httpAccept=text/plain', 'content-type': 'text/plain', 'content-version': 'vor', 'intended-application': 'text-mining'}]","[{'lastname': 'Patskovsky', 'firstname': 'Sergiy', 'affiliation': None}, {'lastname': 'Kabashin', 'firstname': 'Andrei V.', 'affiliation': None}, {'lastname': 'Meunier', 'firstname': 'Michel', 'affiliation': None}, {'lastname': 'Luong', 'firstname': 'John H.T.', 'affiliation': None}]",,Near-infrared surface plasmon resonance sensing on a silicon platform,10.1016/j.snb.2003.09.023,journal-article,Sensors and Actuators B: Chemical,0925-4005,97,2-3,409,414,2004-02-01,"['10.1146/annurev.biophys.26.1.541', '10.1017/S0033583500005758', '10.1515/zna-1968-1247', '10.1016/0956-5663(95)96965-2', '10.1016/S0925-4005(97)80057-3', '10.1364/JOSAA.20.001644', '10.1021/ac010820+', '10.1016/0956-5663(96)83298-2', '10.1063/1.556029', '10.1364/AO.32.003531', '10.1088/0305-4608/17/1/031', '10.1063/1.1287631', '10.1063/1.367101', '10.1021/ac9905165']",False
American Chemical Society (ACS),,94,"[{'URL': 'https://pubs.acs.org/doi/pdf/10.1021/jp809275v', 'content-type': 'unspecified', 'content-version': 'vor', 'intended-application': 'similarity-checking'}]","[{'lastname': 'Besner', 'firstname': 'Sébastien', 'affiliation': None}, {'lastname': 'Kabashin', 'firstname': 'Andrei V.', 'affiliation': None}, {'lastname': 'Winnik', 'firstname': 'Françoise M.', 'affiliation': None}, {'lastname': 'Meunier', 'firstname': 'Michel', 'affiliation': None}]",,Synthesis of Size-Tunable Polymer-Protected Gold Nanoparticles by Femtosecond Laser-Based Ablation and Seed Growth,10.1021/jp809275v,journal-article,The Journal of Physical Chemistry C,1932-7455,113,22,9526,9531,2009-05-08,"['10.1021/cr030698+', '10.1021/ja0296935', '10.1016/j.cccn.2005.03.014', '10.1016/j.ces.2005.06.019', '10.1021/ja025814p', '10.1021/ja057254a', '10.1039/C39940000801', '10.1021/ie060672j', '10.1021/ja046114i', '10.1021/la035157u', '10.1021/la025795x', '10.1021/ja0558241', '10.1021/cr050943k', '10.1016/j.pmatsci.2006.10.016', '10.1366/0003702934066460', '10.1021/jp020577y', '10.1063/1.2390641', '10.1007/s00339-004-3081-4', '10.1007/s00339-004-2841-5', '10.1016/S0169-4332(02)01230-8', '10.1063/1.1626793', '10.1016/S0927-7757(01)00854-8', '10.1021/jp052258n', '10.1007/s00339-003-2489-6', '10.1021/jp001336y', '10.1021/jp034345q', '10.1021/ma062225l', '10.1021/bm060381u', '10.1007/s00340-003-1214-7', '10.1063/1.2402944', '10.1021/ac061578f', '10.1007/s11095-007-9257-9', '10.1021/jp0441240', '10.1021/jp061020b', '10.1021/jp071080x', '10.1021/jp036222b', '10.1021/jp000679t', '10.1021/jp027269k', '10.1039/b200587e', '10.1021/jp980009b', '10.1021/jp983503o', '10.1002/andp.19083300302', '10.1021/ja048678s', '10.1021/cm0206439', '10.1007/s00397-005-0013-y', '10.1016/j.aca.2004.04.060', '10.1021/jp058204v', '10.1063/1.2132086', '10.1016/j.ultsonch.2007.01.008', '10.1021/la060990n']",True
Elsevier BV,"[{'start': {'date-parts': [[2008, 2, 1]], 'date-time': '2008-02-01T00:00:00Z', 'timestamp': 1201824000000}, 'content-version': 'tdm', 'delay-in-days': 0, 'URL': 'https://www.elsevier.com/tdm/userlicense/1.0/'}]",4,"[{'URL': 'https://api.elsevier.com/content/article/PII:S0169433207014572?httpAccept=text/xml', 'content-type': 'text/xml', 'content-version': 'vor', 'intended-application': 'text-mining'}, {'URL': 'https://api.elsevier.com/content/article/PII:S0169433207014572?httpAccept=text/plain', 'content-type': 'text/plain', 'content-version': 'vor', 'intended-application': 'text-mining'}]","[{'lastname': 'Meunier', 'firstname': 'M.', 'affiliation': None}, {'lastname': 'Bernier', 'firstname': 'J.-S.', 'affiliation': None}, {'lastname': 'Sylvestre', 'firstname': 'J.-P.', 'affiliation': None}, {'lastname': 'Kabashin', 'firstname': 'A.V.', 'affiliation': None}]",,Modeling the influence of the porosity of laser-ablated silicon films on their photoluminescence properties,10.1016/j.apsusc.2007.10.016,journal-article,Applied Surface Science,0169-4332,254,9,2771,2775,2008-02-01,"['10.1038/35044012', '10.1126/science.278.5339.840', '10.1063/1.103561', '10.1063/1.102921', '10.1103/PhysRevB.48.12357', '10.1103/PhysRevB.48.4883', '10.1063/1.116098', '10.1063/1.116870', '10.1063/1.109087', '10.1016/0038-1098(92)90815-Q', '10.1103/PhysRevLett.82.197', '10.1063/1.111766', '10.1016/0040-6090(94)05612-H', '10.1143/JJAP.35.1361', '10.1143/JJAP.35.4780', '10.1016/S0169-4332(97)00661-2', '10.1063/1.368971', '10.1063/1.372421', '10.1016/S0169-4332(99)00450-X', '10.1063/1.126041', '10.1016/S0169-4332(00)00780-7', '10.1116/1.1420494', '10.1063/1.1446217', '10.1103/PhysRev.95.359', '10.1063/1.2356689', '10.1063/1.1288228']",False
Optica Publishing Group,"[{'start': {'date-parts': [[2010, 6, 21]], 'date-time': '2010-06-21T00:00:00Z', 'timestamp': 1277078400000}, 'content-version': 'vor', 'delay-in-days': 0, 'URL': 'https://doi.org/10.1364/OA_License_v1#VOR-OA'}, {'start': {'date-parts': [[2010, 6, 21]], 'date-time': '2010-06-21T00:00:00Z', 'timestamp': 1277078400000}, 'content-version': 'tdm', 'delay-in-days': 0, 'URL': 'https://opg.optica.org/policies/opg-tdm-policy.json'}]",30,"[{'URL': 'https://www.osapublishing.org/viewmedia.cfm?URI=oe-18-14-14353&seq=0', 'content-type': 'unspecified', 'content-version': 'vor', 'intended-application': 'similarity-checking'}]","[{'lastname': 'Patskovsky', 'firstname': 'Sergiy', 'affiliation': None}, {'lastname': 'Meunier', 'firstname': 'Michel', 'affiliation': None}, {'lastname': 'Prasad', 'firstname': 'Paras N.', 'affiliation': None}, {'lastname': 'Kabashin', 'firstname': 'Andrei V.', 'affiliation': None}]",,Self-noise-filtering phase-sensitive surface plasmon resonance biosensing,10.1364/oe.18.014353,journal-article,Optics Express,1094-4087,18,14,14353,,2010-06-21,"['10.1016/S0030-4018(97)00726-8', '10.1063/1.125493', '10.1016/S0925-4005(98)00326-8', '10.1063/1.126129', '10.1063/1.1502016', '10.1063/1.1806273', '10.1016/j.snb.2003.08.005', '10.1364/OL.30.001488', '10.1016/j.snb.2004.12.089', '10.1109/JSEN.2006.884982', '10.1016/j.optcom.2007.03.067', '10.1364/OE.15.001745', '10.1364/OE.16.021305', '10.1364/OE.17.021191', '10.1016/0956-5663(95)96965-2', '10.1038/nmat2546', '10.1364/OL.35.000956', '10.1364/OE.17.002255', '10.1364/AO.33.007501', '10.1016/0031-8914(49)90081-6', '10.1364/JOSA.56.001059', '10.1364/OE.15.012523', '10.1364/OE.17.020847']",False
Optica Publishing Group,"[{'start': {'date-parts': [[2009, 10, 30]], 'date-time': '2009-10-30T00:00:00Z', 'timestamp': 1256860800000}, 'content-version': 'vor', 'delay-in-days': 0, 'URL': 'https://doi.org/10.1364/OA_License_v1#VOR-OA'}, {'start': {'date-parts': [[2009, 10, 30]], 'date-time': '2009-10-30T00:00:00Z', 'timestamp': 1256860800000}, 'content-version': 'tdm', 'delay-in-days': 0, 'URL': 'https://opg.optica.org/policies/opg-tdm-policy.json'}]",11,"[{'URL': 'https://www.osapublishing.org/viewmedia.cfm?URI=oe-17-23-20847&seq=0', 'content-type': 'unspecified', 'content-version': 'vor', 'intended-application': 'similarity-checking'}]","[{'lastname': 'Patskovsky', 'firstname': 'Sergiy', 'affiliation': None}, {'lastname': 'Song', 'firstname': 'In-Hyouk', 'affiliation': None}, {'lastname': 'Meunier', 'firstname': 'Michel', 'affiliation': None}, {'lastname': 'Kabashin', 'firstname': 'Andrei V.', 'affiliation': None}]",,Silicon based total internal reflection bio and chemical sensing with spectral phase detection,10.1364/oe.17.020847,journal-article,Optics Express,1094-4087,17,23,20847,,2009-10-30,"['10.1016/0925-4005(95)01661-9', '10.3390/s7060797', '10.1016/0956-5663(95)96965-2', '10.1070/QE1997v027n07ABEH001013', '10.1063/1.125493', '10.1364/OL.29.002378', '10.1364/OE.15.001745', '10.1364/OE.16.021305', '10.1364/OE.15.012523', '10.1364/JOSAA.21.001559', '10.1016/j.bios.2007.07.015', '10.1088/0022-3727/41/10/105408', '10.1016/j.snb.2003.09.023', '10.1364/AO.42.006905']",False
Optica Publishing Group,"[{'start': {'date-parts': [[2007, 7, 30]], 'date-time': '2007-07-30T00:00:00Z', 'timestamp': 1185753600000}, 'content-version': 'vor', 'delay-in-days': 210, 'URL': 'https://doi.org/10.1364/OA_License_v1#VOR-OA'}, {'start': {'date-parts': [[2007, 7, 30]], 'date-time': '2007-07-30T00:00:00Z', 'timestamp': 1185753600000}, 'content-version': 'tdm', 'delay-in-days': 210, 'URL': 'https://opg.optica.org/policies/opg-tdm-policy.json'}]",19,"[{'URL': 'https://www.osapublishing.org/viewmedia.cfm?URI=oe-15-16-10231&seq=0', 'content-type': 'unspecified', 'content-version': 'vor', 'intended-application': 'similarity-checking'}]","[{'lastname': 'Pone', 'firstname': 'Elio', 'affiliation': None}, {'lastname': 'Hassani', 'firstname': 'Alireza', 'affiliation': None}, {'lastname': 'Lacroix', 'firstname': 'Suzanne', 'affiliation': None}, {'lastname': 'Kabashin', 'firstname': 'Andrei', 'affiliation': None}, {'lastname': 'Skorobogatiy', 'firstname': 'Maksim', 'affiliation': None}]",,"Boundary integral method for the challenging problems in bandgap guiding, plasmonics and sensing",10.1364/oe.15.010231,journal-article,Optics Express,1094-4087,15,16,10231,,2007-01-01,,False
SPIE,,5,,"[{'lastname': 'Besner', 'firstname': 'Sebastien', 'affiliation': None}, {'lastname': 'Degorce', 'firstname': 'Jean-Yves', 'affiliation': None}, {'lastname': 'Kabashin', 'firstname': 'Andrei V.', 'affiliation': None}, {'lastname': 'Meunier', 'firstname': 'Michel', 'affiliation': None}]",,"Surface modifications during femtosecond laser ablation in vacuum, air, and water",10.1117/12.567746,proceedings-article,SPIE Proceedings,0277-786X,5578,,554,,2004-12-09,,False
IEEE,,2,"[{'URL': 'http://xplorestaging.ieee.org/ielx7/8896848/8914730/08914938.pdf?arnumber=8914938', 'content-type': 'unspecified', 'content-version': 'vor', 'intended-application': 'similarity-checking'}]","[{'lastname': 'Nirwan', 'firstname': 'Viraj Pratap', 'affiliation': None}, {'lastname': 'Al-Kattan', 'firstname': 'Ahmed', 'affiliation': None}, {'lastname': 'Kabashin', 'firstname': 'Andrei', 'affiliation': None}, {'lastname': 'Fahmia', 'firstname': 'Amir', 'affiliation': None}]",,Electrospun PEO/Chitosan Nanofibers Templated with Gold Nanoparticles Prepared with Laser and Wet Synthesis,10.1109/nap.2018.8914938,proceedings-article,2018 IEEE 8th International Conference Nanomaterials: Application &amp; Properties (NAP),,,,1,4,2018-09-01,"['10.3390/ijms19020407', '10.1016/j.polymer.2011.08.034', '10.1039/c3tb20285b', '10.5772/61300', '10.1039/C7RA02255G', '10.3390/md13031133', '10.1039/c1cs15166e', '10.4028/www.scientific.net/MSF.901.20', '10.1016/j.carbpol.2009.02.008', '10.1021/am5000068', '10.1039/df9511100055']",True
SPIE,,1,,"[{'lastname': 'Kabashin', 'firstname': 'Andrei V.', 'affiliation': None}, {'lastname': 'Charbonneau-Lefort', 'firstname': 'M.', 'affiliation': None}, {'lastname': 'Meunier', 'firstname': 'Michel', 'affiliation': None}, {'lastname': 'Leonelli', 'firstname': 'Richard', 'affiliation': None}]",,Production of photoluminescent Si-based nanostructures by laser ablation: effects of ablation and postdeposition conditions,10.1117/12.387555,proceedings-article,SPIE Proceedings,0277-786X,3933,,192,,2000-06-07,,True
SPIE,,0,,"[{'lastname': 'Patskovsky', 'firstname': 'Sergiy', 'affiliation': None}, {'lastname': 'Kabashin', 'firstname': 'Andrei V.', 'affiliation': None}, {'lastname': 'Meunier', 'firstname': 'Michel', 'affiliation': None}, {'lastname': 'Luong', 'firstname': 'John H.', 'affiliation': None}]",,Sensing properties of surface plasmon resonance in different multilayer Si-based structures,10.1117/12.567689,proceedings-article,SPIE Proceedings,0277-786X,5577,,467,,2004-12-20,,False
SPIE,,0,,"[{'lastname': 'Kabashin', 'firstname': 'Andrei V.', 'affiliation': None}, {'lastname': 'Sylvestre', 'firstname': 'Jean-Philippe', 'affiliation': None}, {'lastname': 'Patskovsky', 'firstname': 'Sergiy', 'affiliation': None}, {'lastname': 'Meunier', 'firstname': 'Michel', 'affiliation': None}]",,Variable porous structure of laser-ablated silicon nanocluster films and its influence on photoluminescence properties,10.1117/12.459735,proceedings-article,SPIE Proceedings,0277-786X,4636,,38,47,2002-03-20,,True
Springer Science and Business Media LLC,"[{'start': {'date-parts': [[2008, 12, 1]], 'date-time': '2008-12-01T00:00:00Z', 'timestamp': 1228089600000}, 'content-version': 'tdm', 'delay-in-days': 0, 'URL': 'http://www.springer.com/tdm'}]",105,"[{'URL': 'http://link.springer.com/content/pdf/10.1007/s00339-008-4773-y.pdf', 'content-type': 'application/pdf', 'content-version': 'vor', 'intended-application': 'text-mining'}, {'URL': 'http://link.springer.com/article/10.1007/s00339-008-4773-y/fulltext.html', 'content-type': 'text/html', 'content-version': 'vor', 'intended-application': 'text-mining'}, {'URL': 'http://link.springer.com/content/pdf/10.1007/s00339-008-4773-y.pdf', 'content-type': 'application/pdf', 'content-version': 'vor', 'intended-application': 'similarity-checking'}, {'URL': 'http://link.springer.com/content/pdf/10.1007/s00339-008-4773-y', 'content-type': 'unspecified', 'content-version': 'vor', 'intended-application': 'similarity-checking'}]","[{'lastname': 'Besner', 'firstname': 'S.', 'affiliation': None}, {'lastname': 'Kabashin', 'firstname': 'A. V.', 'affiliation': None}, {'lastname': 'Winnik', 'firstname': 'F. M.', 'affiliation': None}, {'lastname': 'Meunier', 'firstname': 'M.', 'affiliation': None}]",,Ultrafast laser based “green” synthesis of non-toxic nanoparticles in aqueous solutions,10.1007/s00339-008-4773-y,journal-article,Applied Physics A,1432-0630,93,4,955,959,2008-12-01,"['10.1002/0471465380', '10.1038/nmat1390', '10.1177/153303460300200602', '10.1103/PhysRevB.71.115409', '10.1021/bc034189q', '10.1177/153303460400300104', '10.1126/science.275.5303.1102', '10.1039/b517131h', '10.1021/la060093j', '10.1007/s00109-004-0629-x', '10.1016/j.chembiol.2005.09.008', '10.1366/0003702934066460', '10.1021/jp953248x', '10.1002/bbpc.19930971112', '10.1063/1.1626793', '10.1021/jp034345q', '10.1021/ja048678s', '10.1021/jp047134+', '10.1007/s00339-004-3081-4', '10.1016/j.jphotochem.2006.06.008', '10.1063/1.2402944', '10.1007/s00339-007-4001-1', '10.1039/C39940000801', '10.1021/cm0206439', '10.1021/cm035049t', '10.1039/df9511100055', '10.1038/physci241020a0', '10.1021/cr050943k', '10.1007/s00253-005-0179-3', '10.1039/b601271j', '10.1007/s11051-005-9065-2']",True
