title,DOI,abstract,ablation
['Phase‐Responsive Fourier Nanotransducers for Probing 2D Materials and Functional Interfaces'],10.1002/adfm.201902692,"<jats:title>Abstract</jats:title><jats:p>Light scattered by an object contains plethora information about the object which is distributed evenly among all possible Fourier components of light observed in the far‐field. There are some cases, however, where this information is accumulated in the light confined by the object and then encoded in just a few coherent optical beams. Here, Fourier nanotransducers based on 2D plasmonic metamaterials are introduced, which are capable of confining light in 2D plane contacting with a functional interface, gathering information about its properties, and then transmitting the information into discrete optical beams with amplified phase relations. It is shown that phase of light in such beams can be used for probing dynamic physical properties of 2D materials and performing bio/chemical sensing with unprecedented sensitivity. Using a Fourier transducer based on periodic gold nanostructures, ferroelectric response from a single atomic layer of MoS<jats:sub>2</jats:sub> is resolved and studied for the first time, as well as the detection of important antibiotic chloramphenicol at fg mL<jats:sup>−1</jats:sup> level is demonstrated, which several orders of magnitude better than reported in the literature. The implementation of phase‐responsive Fourier nanotransducers opens new avenues in exploration of emergent 2D structures and radical improvement of biosensing technology.</jats:p>",
['Effect of Oxygen on Colloidal Stability of Titanium Nitride Nanoparticles Synthesized by Laser Ablation in Liquids'],10.3103/s1068335621070058,,
['Nonlinear photoacoustic response of suspensions of laser-synthesized plasmonic titanium nitride nanoparticles'],10.1364/ol.404304,"<jats:p>A nonlinear photoacoustic (PA) response from solutions of 40 nm
					plasmonic titanium nitride nanoparticles (NPs) synthesized by laser
					ablation in a liquid environment (acetone) is reported. Using a
					photoacoustic Z-scan with 5 ns pumping pulses, values of effective
					nonlinear absorption (NLA) coefficients <jats:inline-formula>
      <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline"">
	<mml:mrow class=""MJX-TeXAtom-ORD"">
	  <mml:msub>
	    <mml:mi>β</mml:mi>
	    <mml:mrow class=""MJX-TeXAtom-ORD"">
	      <mml:mtext>PA,eff</mml:mtext>
	    </mml:mrow>
	  </mml:msub>
	</mml:mrow>
      </mml:math>
    </jats:inline-formula> were measured and found to be
					3.27±0.17 × 10<jats:sup>-8</jats:sup>, 6.41±0.32 × 10<jats:sup>-8</jats:sup>, and
					3.22±0.16 × 10<jats:sup>-8</jats:sup> for 600, 700, and 800 nm pumping
					wavelengths, respectively. To take into account the influence of
					nonlinear scattering, absorption-dependent PA measurements were
					carried out together with the optical Z-scan, and the obtained data
					were compared. The origin of the effective absorptive nonlinearity is
					discussed based on combined NLA in NPs, nonlinear scattering, and
					bubble generation triggered by NP-mediated light absorption. Potential
					applications include biomedical diagnostics and therapy.</jats:p>",
['Laser-Ablative Synthesis of Stable Aqueous Solutions of Elemental Bismuth Nanoparticles for Multimodal Theranostic Applications'],10.3390/nano10081463,"<jats:p>Elemental bismuth (Bi) nanoparticles (NPs), with the high atomic density of the Bi nuclei, could serve as efficient targeted agents for cancer treatment, with applications such as contrast agents for computed tomography (CT) imaging, sensitizers for image-guided X-ray radiotherapy, and photothermal therapy. However, the synthesis of elemental Bi NPs suitable for biological applications is difficult using conventional chemical routes. Here, we explore the fabrication of ultrapure Bi-based nanomaterials by femtosecond laser ablation from a solid Bi target in ambient liquids and characterize them by a variety of techniques, including TEM, SEM, XRD, FTIR, Raman, and optical spectroscopy. We found that laser-ablative synthesis using an elemental Bi solid target leads to the formation of spherical Bi NPs having the mean size of 20–50 nm and a low size-dispersion. The NPs prepared in water experience a fast (within a few minutes) conversion into 400–500 nm flake-like nanosheets, composed of bismuth subcarbonates, (BiO)2CO3 and (BiO)4CO3(OH)2, while the NPs prepared in acetone demonstrate high elemental stability. We introduce a procedure to obtain a stable aqueous solution of elemental Bi NPs suitable for biological applications, based on the coating of Bi NPs prepared in acetone with Pluronic® F68 and their subsequent transfer to water. We also show that the laser-synthesized elemental Bi NPs, due to their vanishing band gap, exhibit remarkable absorption in the infrared range, which can be used for the activation of photothermal therapy in the near IR-to-IR window with maximum optical transparency in biological media. Exempt of any toxic synthetic by-products, laser-ablated elemental Bi NPs present a novel appealing nanoplatform for combination image-guided photoradiotherapies.</jats:p>",
['Synthesis of Titanium Nitride Nanoparticles by Pulsed Laser Ablation in Different Aqueous and Organic Solutions'],10.3390/nano12101672,"<jats:p>Owing to a strong photothermal response in the near-IR spectral range and very low toxicity, titanium nitride (TiN) nanoparticles (NPs) synthesized by pulsed laser ablation in liquids (PLAL) present a novel appealing object for photo-induced therapy of cancer, but the properties of these NPs still require detailed investigation. Here, we have elaborated methods of femtosecond laser ablation from the TiN target in a variety of liquid solutions, including acetonitrile, dimethylformamide, acetone, water, and H2O2, to synthesize TiN NPs and clarify the effect of liquid type on the composition and properties of the formed NPs. The ablation in all solvents led to the formation of spherical NPs with a mean size depending on the liquid type, while the composition of the NPs ranged from partly oxidized TiN to almost pure TiO2, which conditioned variations of plasmonic peak in the region of relative tissue transparency (670–700 nm). The degree of NP oxidation depended on the solvent, with much stronger oxidation for NPs prepared in aqueous solutions (especially in H2O2), while the ablation in organic solvents resulted in a partial formation of titanium carbides as by-products. The obtained results contribute to better understanding of the processes in reactive PLAL and can be used to design TiN NPs with desired properties for biomedical applications.</jats:p>",
['Laser-ablative synthesis of stable size-tunable Bi nanoparticles and their functionalization for radiotherapy applications'],10.1088/1742-6596/2058/1/012010,"<jats:title>Abstract</jats:title>
               <jats:p>Nanoformulations of high-Z elements can improve therapeutic outcome in radiotherapy-based treatment of tumors, but current nanomedicine implementations in radiotherapy still need biocompatible, non-toxic nano-agents exhibiting low polydispersity and high colloidal stability. Here, we elaborate methods of femtosecond (fs) laser ablation in water and organic solvents to fabricate stable aqueous colloidal solutions of ultrapure elemental Bi nanoparticles (NPs) and characterize them. We show that fs laser ablation of Bi target leads to the formation of spherical elemental Bi NPs having 25 nm mean size and wide size-dispersion. NPs prepared in water undergo fast conversion into 400-500 nm flake-like nanosheets, while NPs prepared in acetone demonstrate a high colloidal stability. We then employ methods of fs laser fragmentation to control mean size and size dispersion of Bi NPs. Stable aqueous solution of Bi NPs suitable for biomedical applications can be obtained by coating with Pluronic® F-127. We finally show that surface modification of Bi NPs increases its colloidal stability in phosphate buffer saline (PBS) solution by more than 6 fold. Exempt of any toxic synthetic by-products, laser-ablated Bi NPs present a novel appealing nanoplatform for image-guided combination photo- and radiotherapy.</jats:p>",
['Ultra-narrow surface lattice resonances in plasmonic metamaterial arrays for biosensing applications'],10.1016/j.bios.2017.12.001,,
['Bare laser-synthesized palladium–gold alloy nanoparticles as efficient electrocatalysts for glucose oxidation for energy conversion applications'],10.1039/d0cy01323d,<p>Laser-synthesized PdAu nanoparticles demonstrate a strong synergetic effect on glucose oxidation combining high catalytic activity with ultrafast kinetics at low potentials.</p>,
['Advanced Electrocatalysts on the Basis of Bare Au Nanomaterials for Biofuel Cell Applications'],10.1021/acscatal.5b01478,,
['Processing conditions in pulsed laser ablation of gold in liquid for fabrication of nanowire networks'],10.1016/j.apsusc.2014.02.010,,
['Recent Advances in Laser-Ablative Synthesis of Bare Au and Si Nanoparticles and Assessment of Their Prospects for Tissue Engineering Applications'],10.3390/ijms19061563,"<jats:p>Driven by surface cleanness and unique physical, optical and chemical properties, bare (ligand-free) laser-synthesized nanoparticles (NPs) are now in the focus of interest as promising materials for the development of advanced biomedical platforms related to biosensing, bioimaging and therapeutic drug delivery. We recently achieved significant progress in the synthesis of bare gold (Au) and silicon (Si) NPs and their testing in biomedical tasks, including cancer imaging and therapy, biofuel cells, etc. We also showed that these nanomaterials can be excellent candidates for tissue engineering applications. This review is aimed at the description of our recent progress in laser synthesis of bare Si and Au NPs and their testing as functional modules (additives) in innovative scaffold platforms intended for tissue engineering tasks.</jats:p>",
['Surface enhanced infrared absorption spectroscopy based on gold nanostars and spherical nanoparticles'],10.1016/j.aca.2017.07.045,,
['Organic Solvent and Surfactant Free Fluorescent Organic Nanoparticles by Laser Ablation of Aggregation‐Induced Enhanced Emission Dyes'],10.1002/adom.201800164,"<jats:title>Abstract</jats:title><jats:p>Less toxic and highly fluorescent nanoparticles are in high demand to image biological events and early‐stage disease. A strategy to fabricate highly fluorescent organic nanoparticles by laser ablation of aggregation‐induced enhanced emission (AIE) luminophores, which are free of any organic solvent and surfactant, is presented. As these dyes provide no concentration quenching, the increased number of photoluminescent molecules in a nanoparticle produces bright fluorescence even with their small size (&lt;2 nm), making them highly suitable for intracellular uptake and imaging for a variety of biomedical applications. The design and synthesis of a new AIE luminophore, DCEtDCS, are reported and its photoluminescent quantum yield enhancement up to 58% in the aggregated state is demonstrated. Extremely stable nanoparticles of this luminophore with a narrow size distribution, by laser ablation in water are reported and its superior optical properties that are comparable to quantum dots are verified. The highly negative surface charge of these nanoparticles impedes cellular uptake, but when the surface is coated with chitosan, a cationic polymer, intracellular uptake in microglia is achieved. The strategy provides a novel tool to produce in water, ultrasmall and surfactant‐free highly fluorescent organic nanoparticles suitable for biomedical applications.</jats:p>",
['X-ray Contrast Properties of Bismuth-Based Nanoformulations'],10.3103/s1068335623220141,,
['Cavitation‐Free Continuous‐Wave Laser Ablation from a Solid Target to Synthesize Low‐Size‐Dispersed Gold Nanoparticles'],10.1002/cphc.201601419,"<jats:title>Abstract</jats:title><jats:p>Continuous wave (CW) radiation from a Yb‐fiber laser (central wavelength 1064 nm, power 1–200 W) was used to initiate ablation of a gold target in deionized water and to synthesize bare (unprotected) gold nanoparticles. We show that the formed nanoparticles present a single low‐size‐dispersed population with a mean size of the order of 10 nm, which contrasts with previously reported data on dual populations of nanoparticles formed during pulsed laser ablation in liquids. The lack of a second population of nanoparticles is explained by the absence of cavitation‐related mechanism of material ablation, which typically takes place under pulsed laser action on a solid target in liquid ambience, and this supposition is confirmed by plume visualization tests. We also observe a gradual growth of mean nanoparticle size from 8–10 nm to 20–25 nm under the increase of laser power for 532 nm pumping wavelength, whereas for 1064 nm pumping wavelength the mean size 8–10 nm is independent of radiation power. The growth of the nanoparticles observed for 532 nm wavelength is attributed to the enhanced target melting and splashing followed by additional heating due to an efficient excitation of plasmons over gold nanoparticles. Bare, low‐size‐dispersed gold nanoparticles are of importance for a variety of applications, including biomedicine, catalysis, and photovoltaics. The use of CW radiation for nanomaterial production promises to improve the cost efficiency of this technology.</jats:p>",
['<sup>68</sup>Ga-adsorption on the Si-nanoparticles'],10.1088/1757-899x/487/1/012026,,
['Gold nanoparticles prepared by laser ablation in aqueous biocompatible solutions: assessment of safety and biological identity for nanomedicine applications'],10.2147/ijn.s65817,,
['Plasmonically enhanced two-photon absorption induced photoacoustic microscopy with laser-synthesized TiN nanoparticles'],10.1063/5.0101658,"<jats:p>Combining photonic excitation and acoustic detection, photoacoustic imaging (PAI) presents one of the most promising noninvasive biomedical diagnostic modalities, but this technique still lacks efficient nano-sized contrast agents absorbing light in the region of relative tissue transparency (630–900 nm). Here, we explore the use of titanium nitride (TiN) nanoparticles (NPs) fabricated by methods of pulsed laser ablation in liquids as a contrast agent in PAI. When prepared in acetone, the NPs are spherical, have an average size of 25 nm, and exhibit a broad plasmonic absorption peak around 700 nm. We show that solutions of these NPs render possible a strong nonlinear photoacoustic response and the generation of photoacoustic images with 67 μm resolution within the biological transparency window. The observed effect is explained by a plasmonically enhanced two-photon absorption process in TiN NPs. Combined with earlier demonstrated capability of generating photothermal therapeutic effect, relative chemical purity, and excellent biocompatibility, laser-synthesized TiN NPs promise attractive applications in biomedical theranostics involving imaging modalities based on photoacoustics microscopy or tomography.</jats:p>",
['Nanocomposites composed of P3HT:PCBM and nanoparticles synthesized by laser ablation of a bulk PbS target in liquid'],10.1007/s00396-014-3397-3,,
"['Ultra-pure, water-dispersed Au nanoparticles produced by femtosecond laser ablation and fragmentation']",10.2147/ijn.s44163,,
['Tungsten disulfide nanoparticles produced by femtosecond laser ablation in water for nanophotonic applications'],10.1088/1742-6596/2015/1/012155,"<jats:title>Abstract</jats:title>
               <jats:p>We demonstrate nearly spherical nanoparticles of tungsten disulfide (WS2) produced by femtosecond pulsed laser ablation of bulk target in deionized water. Structural and optical analysis reveals that produced nanospheres preserve the crystalline structure, high refractive index and support strong excitons and Mie resonances in the spectral range 400-700 nm, resulting in enhanced photothermal response probed by Raman spectroscopy.</jats:p>",
['Laser-Ablative Synthesis of Isotope-Enriched Samarium Oxide Nanoparticles for Nuclear Nanomedicine'],10.3390/nano10010069,"<jats:p>Nuclear nanomedicine is an emerging field, which utilizes nanoformulations of nuclear agents to increase their local concentration at targeted sites for a more effective nuclear therapy at a considerably reduced radiation dosage. This field needs the development of methods for controlled fabrication of nuclear agents carrying nanoparticles with low polydispersity and with high colloidal stability in aqueous dispersions. In this paper, we apply methods of femtosecond (fs) laser ablation in deionized water to fabricate stable aqueous dispersion of 152Sm-enriched samarium oxide nanoparticles (NPs), which can capture neutrons to become 153Sm beta-emitters for nuclear therapy. We show that direct ablation of a 152Sm-enriched samarium oxide target leads to widely size- and shape-dispersed populations of NPs with low colloidal stability. However, by applying a second fs laser fragmentation step to the dispersion of initially formed colloids, we achieve full homogenization of NPs size characteristics, while keeping the same composition. We also demonstrate the possibility for wide-range tuning of the mean size of Sm-based NPs by varying laser energy during the ablation or fragmentation step. The final product presents dispersed solutions of samarium oxide NPs with relatively narrow size distribution, having spherical shape, a controlled mean size between 7 and 70 nm and high colloidal stability. The formed NPs can also be of importance for catalytic and biomedical applications.</jats:p>",
['Femtosecond laser fragmentation from water-dispersed microcolloids: toward fast controllable growth of ultrapure Si-based nanomaterials for biological applications'],10.1039/c3tb20285b,,
['Plasmonic nanorod metamaterials for biosensing'],10.1038/nmat2546,,
['Hemorheological Alterations of Erythrocytes Induced by Plasmonic Nanoparticles'],10.2139/ssrn.4082304,,
['Ultrapure laser-synthesized Si-based nanomaterials for biomedical applications: in vivo assessment of safety and biodistribution'],10.1038/srep25400,"<jats:title>Abstract</jats:title><jats:p>Si/SiO<jats:sub>x</jats:sub> nanoparticles (NPs) produced by laser ablation in deionized water or aqueous biocompatible solutions present a novel extremely promising object for biomedical applications, but the interaction of these NPs with biological systems has not yet been systematically examined. Here, we present the first comprehensive study of biodistribution, biodegradability and toxicity of laser-synthesized Si-SiO<jats:sub>x</jats:sub> nanoparticles using a small animal model. Despite a relatively high dose of Si-NPs (20 mg/kg) administered intravenously in mice, all controlled parameters (serum, enzymatic, histological etc.) were found to be within safe limits 3 h, 24 h, 48 h and 7 days after the administration. We also determined that the nanoparticles are rapidly sequestered by the liver and spleen, then further biodegraded and directly eliminated in urine without any toxicity effects. Finally, we found that intracellular accumulation of Si-NPs does not induce any oxidative stress damage. Our results evidence a huge potential in using these safe and biodegradable NPs in biomedical applications, in particular as vectors, contrast agents and sensitizers in cancer therapy and diagnostics (theranostics).</jats:p>",
['Wide dynamic range phase-sensitive surface plasmon resonance biosensor based on measuring the modulation harmonics'],10.1016/j.bios.2007.07.015,,
['Genetically encoded BRET-activated photodynamic therapy for the treatment of deep-seated tumors'],10.1038/s41377-022-00729-4,"<jats:title>Abstract</jats:title><jats:p>Photodynamic therapy (PDT) is one of the most appealing photonic modalities for cancer treatment based on anticancer activity of light-induced photosensitizer-mediated reactive oxygen species (ROS), but a limited depth of light penetration into tissues does not make possible the treatment of deep-seated neoplasms and thus complicates its widespread clinical adoption. Here, we introduce the concept of genetically encoded bioluminescence resonance energy transfer (BRET)-activated PDT, which combines an internal light source and a photosensitizer (PS) in a single-genetic construct, which can be delivered to tumors seated at virtually unlimited depth and then triggered by the injection of a substrate to initiate their treatment. To illustrate the concept, we engineered genetic NanoLuc-miniSOG BRET pair, combining NanoLuc luciferase flashlight and phototoxic flavoprotein miniSOG, which generates ROS under luciferase-substrate injection. We prove the concept feasibility in mice bearing NanoLuc-miniSOG expressing tumor, followed by its elimination under the luciferase-substrate administration. Then, we demonstrate a targeted delivery of NanoLuc-miniSOG gene, via tumor-specific lentiviral particles, into a tumor, followed by its successful elimination, with tumor-growth inhibition (TGI) coefficient exceeding 67%, which confirms a great therapeutic potential of the proposed concept. In conclusion, this study provides proof-of-concept for deep-tissue “photodynamic” therapy without external light source that can be considered as an alternative for traditional PDT.</jats:p>",
"['In vivo evaluation of safety, biodistribution and pharmacokinetics of laser-synthesized gold nanoparticles']",10.1038/s41598-019-48748-3,"<jats:title>Abstract</jats:title><jats:p>Capable of generating plasmonic and other effects, gold nanostructures can offer a variety of diagnostic and therapy functionalities for biomedical applications, but conventional chemically-synthesized Au nanomaterials cannot always match stringent requirements for toxicity levels and surface conditioning. Laser-synthesized Au nanoparticles (AuNP) present a viable alternative to chemical counterparts and can offer exceptional purity (no trace of contaminants) and unusual surface chemistry making possible direct conjugation with biocompatible polymers (dextran, polyethylene glycol). This work presents the first pharmacokinetics, biodistribution and safety study of laser-ablated dextran-coated AuNP (AuNPd) under intravenous administration in small animal model. Our data show that AuNPd are rapidly eliminated from the blood circulation and accumulated preferentially in liver and spleen, without inducing liver or kidney toxicity, as confirmed by the plasmatic ALAT and ASAT activities, and creatininemia values. Despite certain residual accumulation in tissues, we did not detect any sign of histological damage or inflammation in tissues, while IL-6 level confirmed the absence of any chronic inflammation. The safety of AuNPd was confirmed by healthy behavior of animals and the absence of acute and chronic toxicities in liver, spleen and kidneys. Our results demonstrate that laser-synthesized AuNP are safe for biological systems, which promises their successful biomedical applications.</jats:p>",
['Bi@SiO2 Core@Shell Composites Formation Based on Laser Synthesized Bi Nanoparticles'],10.3103/s1068335623220153,,
['Localized infrared radiation-induced hyperthermia sensitized by laser-ablated silicon nanoparticles for phototherapy applications'],10.1016/j.apsusc.2020.145661,,
['Laser-Ablation Synthesis of Colloidal ZrN Nanoparticles in Different Liquids'],10.3103/s1068335624601092,,
['Thermo-optical performance of bare laser-synthesized TiN nanofluids for direct absorption solar collector applications'],10.1016/j.solmat.2023.112203,,
['Laser Synthesis of Bismuth Nanoparticles for Multimodal Theranostics of Oncological Diseases'],10.3103/s1068335622060070,,
['Impact of Plasmonic Nanoparticles on Poikilocytosis and Microrheological Properties of Erythrocytes'],10.3390/pharmaceutics15041046,"<jats:p>Plasmonic nanoparticles (NP) possess great potential in photothermal therapy and diagnostics. However, novel NP require a detailed examination for potential toxicity and peculiarities of interaction with cells. Red blood cells (RBC) are important for NP distribution and the development of hybrid RBC-NP delivery systems. This research explored RBC alterations induced by noble (Au and Ag) and nitride-based (TiN and ZrN) laser-synthesized plasmonic NP. Optical tweezers and conventional microscopy modalities indicated the effects arising at non-hemolytic levels, such as RBC poikilocytosis, and alterations in RBC microrheological parameters, elasticity and intercellular interactions. Aggregation and deformability significantly decreased for echinocytes independently of NP type, while for intact RBC, all NP except Ag NP increased the interaction forces but had no effect on RBC deformability. RBC poikilocytosis promoted by NP at concentration 50 μg mL−1 was more pronounced for Au and Ag NP, compared to TiN and ZrN NP. Nitride-based NP demonstrated better biocompatibility towards RBC and higher photothermal efficiency than their noble metal counterparts.</jats:p>",
['Gas-assisted electron-beam-induced nanopatterning of high-quality titanium oxide'],10.1088/0957-4484/27/11/115304,,
['Gas-assisted electron-beam-induced nanopatterning of high-quality Si-based insulator'],10.1088/0957-4484/25/15/155301,,
['Ultrapure laser-synthesized Si nanoparticles with variable oxidation states for biomedical applications'],10.1039/c6tb02623k,<p>We use femtosecond laser fragmentation to fabricate ultrapure bare Si-based nanoparticles (Si-NPs) for biomedical applications.</p>,
['Surface-enhanced Raman spectroscopy for identification and discrimination of beverage spoilage yeasts using patterned substrates and gold nanoparticles'],10.1016/j.jfoodeng.2017.05.007,,
['Study of Efficiency of Formation of Core–Satellite Gold- and Iron-Based Nanostructures by Laser Ablation Synthesis'],10.3103/s1068335624601821,,
['Graphene–Gold Metasurface Architectures for Ultrasensitive Plasmonic Biosensing'],10.1002/adma.201501754,,
['Cytotoxicity of Laser-Synthesized Nanoparticles of Elemental Bismuth'],10.1007/s10517-024-06055-6,,
"['Laser-synthesized TiN nanoparticles for biomedical applications: Evaluation of safety, biodistribution and pharmacokinetics']",10.1016/j.msec.2020.111717,,
['Laser-Ablative Synthesis of Ultrapure Magneto-Plasmonic Core-Satellite Nanocomposites for Biomedical Applications'],10.3390/nano12040649,"<jats:p>The combination of magnetic and plasmonic properties at the nanoscale promises the development of novel synergetic image-guided therapy strategies for the treatment of cancer and other diseases, but the fabrication of non-contaminated magneto-plasmonic nanocomposites suitable for biological applications is difficult within traditional chemical methods. Here, we describe a methodology based on laser ablation from Fe target in the presence of preliminarily ablated water-dispersed Au nanoparticles (NPs) to synthesize ultrapure bare (ligand-free) core-satellite nanostructures, consisting of large (several tens of nm) Fe-based core decorated by small (mean size 7.5 nm) Au NPs. The presence of the Fe-based core conditions a relatively strong magnetic response of the nanostructures (magnetization of &gt;12.6 emu/g), while the Au NPs-based satellite shell provides a broad extinction peak centered at 550 nm with a long tale in the near-infrared to overlap with the region of relative tissue transparency (650–950 nm). We also discuss possible mechanisms responsible for the formation of the magnetic-plasmonic nanocomposites. We finally demonstrate a protocol to enhance colloidal stability of the core-satellites in biological environment by their coating with different polymers. Exempt of toxic impurities and combining strong magnetic and plasmonic responses, the formed core-satellite nanocomposites can be used in biomedical applications, including photo- and magneto-induced therapies, magnetic resonance imaging or photoacoustic imaging.</jats:p>",
['Singular phase nano-optics in plasmonic metamaterials for label-free single-molecule detection'],10.1038/nmat3537,,
['Biocompatibility of Bare Nanoparticles Based on Silicon and Gold for Nervous Cells'],10.18502/ken.v3i2.1817,<jats:p>.</jats:p>,
['Numerical Investigation of Ultrashort Laser-Ablative Synthesis of Metal Nanoparticles in Liquids Using the Atomistic-Continuum Model'],10.3390/molecules25010067,"<jats:p>We present a framework based on the atomistic continuum model, combining the Molecular Dynamics (MD) and Two Temperature Model (TTM) approaches, to characterize the growth of metal nanoparticles (NPs) under ultrashort laser ablation from a solid target in water ambient. The model is capable of addressing the kinetics of fast non-equilibrium laser-induced phase transition processes at atomic resolution, while in continuum it accounts for the effect of free carriers, playing a determinant role during short laser pulse interaction processes with metals. The results of our simulations clarify possible mechanisms, which can be responsible for the observed experimental data, including the presence of two populations of NPs, having a small (5–15 nm) and larger (tens of nm) mean size. The formed NPs are of importance for a variety of applications in energy, catalysis and healthcare.</jats:p>",
['Dependence of Properties of Zirconium Nitride Nanoparticles Prepared by Laser Ablation in Liquids on Synthesis Parameters'],10.3103/s1068335624601110,,
['Morphology and photoluminescence properties of silicon nanoparticles deposited in helium-nitrogen mixtures maintained at low residual pressures'],10.1088/1742-6596/2058/1/012011,"<jats:title>Abstract</jats:title><jats:p>We elaborated a technique of pulsed laser ablation in gas mixtures (He-N<jats:sub>2</jats:sub>), maintained under residual pressures of 0.5–5 Torr to deposit silicon (Si)-based nanostructured films on a substrate. We show that the deposited films can exhibit strong photoluminescence (PL) emission with the position of peaks depending on the pressure of ambient gas and the ratio of gases in the mixture. Nanostructured films prepared in pure He gas exhibited a strong band in the infrared range (around 760 nm) and a weak band in the green range (550 nm), which were attributed to quantum-confined excitonic states in small Si nanocrystals and radiative transitions via the localized electronic states in silicon suboxide coating, respectively. In contrast, nanostructured films prepared in He-N<jats:sub>2</jats:sub>mixtures exhibited more intense “green-yellow” PL band centered at 580 nm, which was attributed to a radiative recombination in amorphous oxynitride (a-SiN<jats:sub>x</jats:sub>O<jats:sub>y</jats:sub>) coating of Si nanocrystals. We also present a detailed analysis of morphology of nanostructures Si-based films prepared by laser ablation. Finally, we show that the nanocrystals can be removed from the substrate and milled by ultrasound to form aqueous solutions of colloidal Si nanopartiles. The fabricated Si-based nanocrystals present a promising object for theranostics, combining imaging functionality based on PL emission and a series of therapy functionalities (photo and radiofrequency hyperthermia, photodynamic therapy).</jats:p>",
['Laser-ablative aqueous synthesis and characterization of elemental boron nanoparticles for biomedical applications'],10.1038/s41598-022-13066-8,"<jats:title>Abstract</jats:title><jats:p>Boron-based nano-formulations look very promising for biomedical applications, including photo- and boron neutron capture therapies, but the fabrication of non-toxic water-dispersible boron nanoparticles (NPs), which contain the highest boron atom concentration, is difficult using currently available chemical and plasma synthesis methods. Here, we demonstrate purely aqueous synthesis of clean boron NPs by methods of femtosecond laser ablation from a solid boron target in water, thus free of any toxic organic solvents, and characterize their properties. We show that despite highly oxidizing water ambience, the laser-ablative synthesis process follows an unusual scenario leading to the formation of boron NPs together with boric acid (H<jats:sub>3</jats:sub>BO<jats:sub>3</jats:sub>) as an oxidation by-product coating the nanoparticles, which acts to stabilize the elemental boron NPs dispersion. We then demonstrate the purification of boron NPs from residual boric acid in deionized water, followed by their coating with polyethylene glycol to improve colloidal stability and biocompatibility. It was found that the formed NPs have a spherical shape with averaged size of about 37 nm, and are composed of elemental boron in mostly amorphous phase with the presence of certain crystalline fraction. The synthesized NPs demonstrate low toxicity and exhibit strong absorption in the NIR window of relative tissue transparency, promising their use in photoacoustic imaging and phototherapy, in addition to their promise for neutron capture therapy. This combined potential ability of generating imaging and therapy functionalities makes laser-synthesized B NPs a very promising multifunctional agent for biomedical applications.
</jats:p>",
['Bare laser‐synthesized Au‐based nanoparticles as nondisturbing surface‐enhanced Raman scattering probes for bacteria identification'],10.1002/jbio.201700225,"<jats:p>The ability of noble metal‐based nanoparticles (NPs) (Au, Ag) to drastically enhance Raman scattering from molecules placed near metal surface, termed as surface‐enhanced Raman scattering (SERS), is widely used for identification of trace amounts of biological materials in biomedical, food safety and security applications. However, conventional NPs synthesized by colloidal chemistry are typically contaminated by nonbiocompatible by‐products (surfactants, anions), which can have negative impacts on many live objects under examination (cells, bacteria) and thus decrease the precision of bioidentification. In this article, we explore novel ultrapure laser‐synthesized Au‐based nanomaterials, including Au NPs and AuSi hybrid nanostructures, as mobile SERS probes in tasks of bacteria detection. We show that these Au‐based nanomaterials can efficiently enhance Raman signals from model R6G molecules, while the enhancement factor depends on the content of Au in NP composition. Profiting from the observed enhancement and purity of laser‐synthesized nanomaterials, we demonstrate successful identification of 2 types of bacteria (<jats:italic>Listeria innocua</jats:italic> and <jats:styled-content style=""fixed-case""><jats:italic>Escherichia coli</jats:italic></jats:styled-content>). The obtained results promise less disturbing studies of biological systems based on good biocompatibility of contamination‐free laser‐synthesized nanomaterials.
<jats:boxed-text content-type=""graphic"" position=""anchor""><jats:graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mimetype=""image/png"" position=""anchor"" specific-use=""enlarged-web-image"" xlink:href=""graphic/jbio201700225-gra-0001-m.png""><jats:alt-text>image</jats:alt-text></jats:graphic></jats:boxed-text></jats:p>",
['Laser- synthesized TiN nanoparticles as promising plasmonic alternative for biomedical applications'],10.1038/s41598-018-37519-1,"<jats:title>Abstract</jats:title><jats:p>Exhibiting a red-shifted absorption/scattering feature compared to conventional plasmonic metals, titanium nitride nanoparticles (TiN NPs) look as very promising candidates for biomedical applications, but these applications are still underexplored despite the presence of extensive data for conventional plasmonic counterparts. Here, we report the fabrication of ultrapure, size-tunable TiN NPs by methods of femtosecond laser ablation in liquids and their biological testing. We show that TiN NPs demonstrate strong and broad plasmonic peak around 640–700 nm with a significant tail over 800 nm even for small NPs sizes (&lt;7 nm). <jats:italic>In vitro</jats:italic> tests of laser-synthesized TiN NPs on cellular models evidence their low cytotoxicity and excellent cell uptake. We finally demonstrate a strong photothermal therapy effect on U87–MG cancer cell cultures using TiN NPs as sensitizers of local hyperthermia under near-infrared laser excitation. Based on absorption band in the region of relative tissue transparency and acceptable biocompatibility, laser-synthesized TiN NPs promise the advancement of biomedical modalities employing plasmonic effects, including absorption/scattering contrast imaging, photothermal therapy, photoacoustic imaging and SERS.</jats:p>",
['Laser-Synthesized Bismuth Nanoparticles with Controlled Efficiency of Photothermal Conversion for Multimodal Theranostics'],10.3103/s106833562311012x,,
